id,card_name,foundry,process_size,transistors,die_size,architecture,slot_width,tdp,base_clock,mem_clock,directX_ver,opengl_ver,opencl_ver,vulkan_ver,cuda_ver,shader_model_ver,mem_size,mem_type,mem_bus,bandwidth,pixel_rate,texture_rate,FP16_rate,FP32_rate,FP64_rate,shading_units,production_status,release_date
666,AMD Radeon R2 Mobile Graphics,GlobalFoundries,28 nm,930 million,107 mm²,GCN 2.0,IGP,15 W,,System Shared,12 (12_0),4.6,2.1,1.2.170,,6.5,System Shared,System Shared,System Shared,System Dependent,1.200 GPixel/s,2.400 GTexel/s,,76.80 GFLOPS,4.800 GFLOPS (1:16),128,End-of-life,"Jan 28th, 2015"
667,NVIDIA Tegra 4i GPU,TSMC,28 nm,11 million,85 mm²,VLIW Vec4,IGP,20 W,,"933 MHz
										
					1866 Mbps effective",N/A,ES 3.0,N/A,N/A,,,512 MB,LPDDR3,32 bit,7.464 GB/s,1.320 GPixel/s,1.320 GTexel/s,,,,,End-of-life,"Feb 19th, 2013"
668,AMD Radeon R9 270X,TSMC,28 nm,"2,800 million",212 mm²,GCN 1.0,Dual-slot,180 W,1000 MHz,"1400 MHz
										
					5.6 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,GDDR5,256 bit,179.2 GB/s,33.60 GPixel/s,84.00 GTexel/s,,2.688 TFLOPS,168.0 GFLOPS (1:16),1280,End-of-life,"Oct 8th, 2013"
669,NVIDIA TITAN RTX,TSMC,12 nm,"18,600 million",754 mm²,Turing,Dual-slot,280 W,1350 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,7.5,6.7,24 GB,GDDR6,384 bit,672.0 GB/s,169.9 GPixel/s,509.8 GTexel/s,32.62 TFLOPS (2:1),16.31 TFLOPS,509.8 GFLOPS (1:32),4608,Active,"Dec 18th, 2018"
670,NVIDIA GeForce GT 630 Rev. 2 PCIe x8,TSMC,28 nm,"1,020 million",87 mm²,Kepler 2.0,Single-slot,25 W,,"900 MHz
										
					1800 Mbps effective",12 (11_0),4.6,3.0,1.2.175,3.5,6.5 (5.1),2 GB,DDR3,64 bit,14.40 GB/s,7.216 GPixel/s,28.86 GTexel/s,,692.7 GFLOPS,28.86 GFLOPS (1:24),384,End-of-life,"May 29th, 2013"
671,Intel HD Graphics 4000 Mobile,Intel,22 nm,"1,200 million",133 mm²,Generation 7.0,IGP,45 W,650 MHz,System Shared,11.1 (11_0),4.0,1.2,1.0,,5.0,System Shared,System Shared,System Shared,System Dependent,2.000 GPixel/s,16.00 GTexel/s,,256.0 GFLOPS,64.00 GFLOPS (1:4),128,End-of-life,"May 14th, 2012"
672,NVIDIA GeForce RTX 4070 Mobile,TSMC,5 nm,unknown,190 mm²,Ada Lovelace,IGP,115 W,1395 MHz,"2000 MHz
										
					16 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.9,6.7,8 GB,GDDR6,128 bit,256.0 GB/s,81.36 GPixel/s,244.1 GTexel/s,15.62 TFLOPS (1:1),15.62 TFLOPS,244.1 GFLOPS (1:64),4608,Active,"Jan 3rd, 2023"
673,ATI Radeon HD 3610,TSMC,65 nm,390 million,153 mm²,TeraScale,Single-slot,35 W,,"396 MHz
										
					792 Mbps effective",10.0 (10_0),3.3,N/A,N/A,,4.0,512 MB,DDR2,128 bit,12.67 GB/s,2.376 GPixel/s,4.752 GTexel/s,,142.6 GFLOPS,,120,End-of-life,"Sep 24th, 2009"
674,NVIDIA GeForce GT 520M,TSMC,40 nm,292 million,79 mm²,Fermi 2.0,IGP,12 W,,"800 MHz
										
					1600 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,1024 MB,DDR3,64 bit,12.80 GB/s,1.480 GPixel/s,5.920 GTexel/s,,142.1 GFLOPS,11.84 GFLOPS (1:12),48,End-of-life,"Jan 5th, 2011"
675,NVIDIA GeForce GT 745M,TSMC,28 nm,"1,270 million",118 mm²,Kepler,IGP,45 W,,"1000 MHz
										
					4 Gbps effective",12 (11_0),4.6,3.0,1.2.175,3.0,6.5 (5.1),2 GB,GDDR5,128 bit,64.00 GB/s,4.392 GPixel/s,17.57 GTexel/s,,421.6 GFLOPS,17.57 GFLOPS (1:24),384,End-of-life,"Apr 1st, 2013"
676,NVIDIA GeForce FX 5200 PCI,TSMC,150 nm,45 million,91 mm²,Rankine,Single-slot,unknown,,"200 MHz
										
					400 Mbps effective",9.0a,"1.5 (full)
					2.0 (partial)",N/A,N/A,,,256 MB,DDR,128 bit,6.400 GB/s,1.000 GPixel/s,1.000 GTexel/s,,,,,End-of-life,"Mar 6th, 2003"
677,AMD Radeon HD 8280 IGP,TSMC,28 nm,"1,178 million",110 mm²,GCN 2.0,IGP,15 W,,System Shared,12 (12_0),4.6,2.1,1.2.170,,6.5,System Shared,System Shared,System Shared,System Dependent,1.800 GPixel/s,3.600 GTexel/s,,115.2 GFLOPS,7.200 GFLOPS (1:16),128,End-of-life,"Sep 18th, 2013"
678,AMD Radeon 540X Mobile,GlobalFoundries,14 nm,"2,200 million",103 mm²,GCN 4.0,Dual-slot,50 W,980 MHz,"1500 MHz
										
					6 Gbps effective",12 (12_0),4.6,2.1,1.3,,6.7,2 GB,GDDR5,64 bit,48.00 GB/s,16.74 GPixel/s,33.47 GTexel/s,"1,071 GFLOPS (1:1)","1,071 GFLOPS",66.94 GFLOPS (1:16),512,End-of-life,"Sep 5th, 2018"
679,ATI Radeon HD 2900 XTX,TSMC,80 nm,720 million,420 mm²,TeraScale,Dual-slot,240 W,,"828 MHz
										
					1656 Mbps effective",10.0 (10_0),"3.3 (full)
					4.0 (partial)",N/A,N/A,,4.0,512 MB,GDDR3,512 bit,106.0 GB/s,11.89 GPixel/s,11.89 GTexel/s,,475.5 GFLOPS,,320,End-of-life,Never Released
680,NVIDIA GeForce 405 OEM,TSMC,40 nm,260 million,57 mm²,Tesla 2.0,Single-slot,25 W,,"790 MHz
										
					1580 Mbps effective",11.1 (10_1),3.3,1.1,N/A,1.2,4.1,512 MB,DDR3,64 bit,12.64 GB/s,2.356 GPixel/s,4.712 GTexel/s,,44.86 GFLOPS,,16,End-of-life,"Sep 3rd, 2010"
681,3dfx Voodoo4-2 4800 AGP,TSMC,180 nm,14 million,112 mm²,Voodoo Scalable,Single-slot,15 W,,166 MHz,6.0,1.1,N/A,N/A,,,32 MB,SDR,128 bit,2.656 GB/s,332.0 MPixel/s,332.0 MTexel/s,,,,,End-of-life,Never Released
682,AMD Radeon HD 7720 OEM,TSMC,40 nm,"1,700 million",255 mm²,TeraScale 2,Dual-slot,150 W,,"1050 MHz
										
					4.2 Gbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,1024 MB,GDDR5,256 bit,134.4 GB/s,26.88 GPixel/s,33.60 GTexel/s,,"1,344 GFLOPS",,800,End-of-life,"Mar 15th, 2013"
683,NVIDIA GeForce GTX 645 OEM,TSMC,28 nm,"2,540 million",221 mm²,Kepler,Single-slot,65 W,,"1000 MHz
										
					4 Gbps effective",12 (11_0),4.6,3.0,1.2.175,3.0,6.5 (5.1),1024 MB,GDDR5,128 bit,64.00 GB/s,9.888 GPixel/s,39.55 GTexel/s,,949.2 GFLOPS,39.55 GFLOPS (1:24),576,End-of-life,"Apr 22nd, 2013"
684,AMD Radeon Graphics 512SP,TSMC,7 nm,"9,800 million",180 mm²,GCN 5.1,IGP,45 W,300 MHz,System Shared,12 (12_1),4.6,2.1,1.3,,6.7,System Shared,System Shared,System Shared,System Dependent,16.00 GPixel/s,64.00 GTexel/s,4.096 TFLOPS (2:1),2.048 TFLOPS,128.0 GFLOPS (1:16),512,Active,"Jan 12th, 2021"
685,NVIDIA GeForce FX Go5600,TSMC,130 nm,80 million,121 mm²,Rankine,,unknown,,"250 MHz
										
					500 Mbps effective",9.0a,"1.5 (full)
					2.0 (partial)",N/A,N/A,,,128 MB,DDR,128 bit,8.000 GB/s,1.100 GPixel/s,1.100 GTexel/s,,,,,End-of-life,"Mar 1st, 2003"
686,AMD FirePro M3100,TSMC,28 nm,950 million,77 mm²,GCN 1.0,,unknown,650 MHz,"1000 MHz
										
					2 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),1024 MB,DDR3,128 bit,32.00 GB/s,5.600 GPixel/s,16.80 GTexel/s,,537.6 GFLOPS,,384,End-of-life,Unknown
687,ATI RV560,TSMC,80 nm,312 million,230 mm²,Ultra-Threaded SE,,,,,9.0c (9_3),2.1,N/A,N/A,,3.0,,,,,,,,,,,,"Oct 30th, 2006"
688,AMD Radeon Pro Vega II Duo,TSMC,7 nm,"13,230 million",331 mm²,GCN 5.1,Quad-slot,475 W,1400 MHz,"1000 MHz
										
					2 Gbps effective",12 (12_1),4.6,2.1,1.3,,6.7,32 GB,HBM2,4096 bit,"1,024 GB/s",110.1 GPixel/s,440.3 GTexel/s,28.18 TFLOPS (2:1),14.09 TFLOPS,880.6 GFLOPS (1:16),4096,Active,"Jun 3rd, 2019"
689,NVIDIA Quadro 5000,TSMC,40 nm,"3,100 million",529 mm²,Fermi,Dual-slot,152 W,,"750 MHz
										
					3 Gbps effective",12 (11_0),4.6,1.1,N/A,2.0,5.1,2.5 GB,GDDR5,320 bit,120.0 GB/s,11.29 GPixel/s,22.57 GTexel/s,,722.3 GFLOPS,361.2 GFLOPS (1:2),352,End-of-life,"Feb 23rd, 2011"
690,NVIDIA CMP 170HX 10 GB,TSMC,7 nm,"54,200 million",826 mm²,Ampere,IGP,250 W,1140 MHz,"1215 MHz
										
					2.4 Gbps effective",N/A,N/A,3.0,N/A,8.0,N/A,10 GB,HBM2e,5120 bit,"1,555 GB/s",180.5 GPixel/s,394.8 GTexel/s,50.53 TFLOPS (4:1),12.63 TFLOPS,6.317 TFLOPS (1:2),4480,Active,"Sep 1st, 2021"
691,AMD Radeon Pro W5500X,TSMC,7 nm,"6,400 million",158 mm²,RDNA 1.0,Dual-slot,125 W,1187 MHz,"1750 MHz
										
					14 Gbps effective",12 (12_1),4.6,2.1,1.3,,6.7,8 GB,GDDR6,128 bit,224.0 GB/s,56.22 GPixel/s,168.7 GTexel/s,10.80 TFLOPS (2:1),5.398 TFLOPS,337.3 GFLOPS (1:16),1536,Active,"Dec 11th, 2019"
692,ATI Mobility Radeon X2500,TSMC,90 nm,157 million,150 mm²,Ultra-Threaded SE,,unknown,,"400 MHz
										
					800 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,256 MB,DDR2,128 bit,12.80 GB/s,1.840 GPixel/s,1.840 GTexel/s,,,,,End-of-life,"Jun 1st, 2007"
693,ATI M10,TSMC,130 nm,76 million,92 mm²,R300,,,,,9.0 (9_0),2.0,N/A,N/A,,,,,,,,,,,,,,"Nov 1st, 2003"
694,AMD Seymour,TSMC,40 nm,370 million,67 mm²,TeraScale 2,,,,,11.2 (11_0),4.4,1.2,N/A,,5.0,,,,,,,,,,160,,"Oct 19th, 2010"
695,ATI Xenos Vejle,TSMC,45 nm,372 million,168 mm²,TeraScale,,,,,9.0c (9_3),N/A,N/A,N/A,,3.0,,,,,,,,,,240,,"Jun 19th, 2010"
696,Intel Arc A580,TSMC,6 nm,"21,700 million",406 mm²,Generation 12.7,Dual-slot,175 W,1700 MHz,"2000 MHz
										
					16 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,,6.6,8 GB,GDDR6,256 bit,512.0 GB/s,230.4 GPixel/s,460.8 GTexel/s,29.49 TFLOPS (2:1),14.75 TFLOPS,,3072,Active,Unknown
697,ATI EGA Wonder 800+,NEC,800 nm,unknown,90 mm²,Wonder,Single-slot,unknown,,8 MHz,N/A,N/A,N/A,N/A,,,256 KB,DRAM,32 bit,32.00 MB/s,25.00 MPixel/s,0 MTexel/s,,,,,End-of-life,1988
698,ATI Radeon 2100 IGP,,55 nm,120 million,73 mm²,R400,IGP,unknown,,System Shared,9.0b (9_2),2.0,N/A,N/A,,,System Shared,System Shared,System Shared,System Dependent,1.600 GPixel/s,1.600 GTexel/s,,,,,End-of-life,"Mar 4th, 2008"
699,NVIDIA GeForce 8600M GT,TSMC,80 nm,289 million,169 mm²,Tesla,MXM Module,20 W,,"400 MHz
										
					800 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,512 MB,DDR2,128 bit,12.80 GB/s,3.800 GPixel/s,7.600 GTexel/s,,60.80 GFLOPS,,32,End-of-life,"Dec 31st, 2007"
700,NVIDIA NVS 300,TSMC,40 nm,260 million,57 mm²,Tesla 2.0,Single-slot,18 W,,"790 MHz
										
					1580 Mbps effective",11.1 (10_1),3.3,1.1,N/A,1.2,4.1,512 MB,DDR3,64 bit,12.64 GB/s,2.080 GPixel/s,4.160 GTexel/s,,39.36 GFLOPS,,16,End-of-life,"Jan 8th, 2011"
701,AMD Radeon R9 360 OEM,TSMC,28 nm,"2,080 million",160 mm²,GCN 2.0,Dual-slot,75 W,1000 MHz,"1625 MHz
										
					6.5 Gbps effective",12 (12_0),4.6,2.1,1.2.170,,6.5,2 GB,GDDR5,128 bit,104.0 GB/s,16.80 GPixel/s,50.40 GTexel/s,,1.613 TFLOPS,100.8 GFLOPS (1:16),768,End-of-life,"May 5th, 2015"
702,NVIDIA GeForce 6800 Ultra DDL,TSMC,130 nm,222 million,287 mm²,Curie,Dual-slot,100 W,,"550 MHz
										
					1100 Mbps effective",9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,256 MB,GDDR3,256 bit,35.20 GB/s,6.400 GPixel/s,6.400 GTexel/s,,,,,End-of-life,"Apr 14th, 2004"
703,AMD Radeon R9 M280X,TSMC,28 nm,"2,080 million",160 mm²,GCN 2.0,,unknown,1000 MHz,"1500 MHz
										
					6 Gbps effective",12 (12_0),4.6,2.1,1.2.170,,6.5,2 GB,GDDR5,128 bit,96.00 GB/s,17.60 GPixel/s,61.60 GTexel/s,,1.971 TFLOPS,123.2 GFLOPS (1:16),896,End-of-life,"Feb 5th, 2015"
704,AMD Radeon R7 Mobile Graphics,GlobalFoundries,28 nm,"1,200 million",125 mm²,GCN 3.0,IGP,15 W,200 MHz,System Shared,12 (12_0),4.6,2.1,1.2.170,,6.5,System Shared,System Shared,System Shared,System Dependent,5.760 GPixel/s,23.04 GTexel/s,737.3 GFLOPS (1:1),737.3 GFLOPS,368.6 GFLOPS (1:2),512,End-of-life,"Nov 15th, 2015"
705,NVIDIA GeForce 9500M G,UMC,65 nm,314 million,144 mm²,Tesla,,20 W,,"800 MHz
										
					1600 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,512 MB,GDDR3,128 bit,25.60 GB/s,4.000 GPixel/s,4.000 GTexel/s,,40.00 GFLOPS,,16,End-of-life,"Jun 3rd, 2008"
706,Intel Iris Plus Graphics 655 Mobile,Intel,14 nm+++,unknown,unknown,Generation 9.5,IGP,15 W,300 MHz,System Shared,12 (12_1),4.6,3.0,1.3,,6.4,System Shared,System Shared,System Shared,System Dependent,6.300 GPixel/s,50.40 GTexel/s,1.613 TFLOPS (2:1),806.4 GFLOPS,201.6 GFLOPS (1:4),384,Active,"Apr 3rd, 2018"
707,ATI All-In-Wonder 9600,TSMC,130 nm,60 million,76 mm²,R300,Single-slot,unknown,,"196 MHz
										
					392 Mbps effective",9.0 (9_0),2.0,N/A,N/A,,,128 MB,DDR,128 bit,6.272 GB/s,1.296 GPixel/s,1.296 GTexel/s,,,,,End-of-life,"Dec 3rd, 2003"
708,ATI Mobility Radeon 9550,TSMC,130 nm,76 million,92 mm²,R300,,unknown,,"243 MHz
										
					486 Mbps effective",9.0,2.0,N/A,N/A,,,64 MB,DDR,64 bit,3.888 GB/s,1.000 GPixel/s,1.000 GTexel/s,,,,,End-of-life,"Jun 1st, 2004"
709,NVIDIA Tesla V100 PCIe 16 GB,TSMC,12 nm,"21,100 million",815 mm²,Volta,Dual-slot,300 W,1245 MHz,"876 MHz
										
					1752 Mbps effective",12 (12_1),4.6,3.0,1.3,7.0,6.7,16 GB,HBM2,4096 bit,897.0 GB/s,176.6 GPixel/s,441.6 GTexel/s,28.26 TFLOPS (2:1),14.13 TFLOPS,7.066 TFLOPS (1:2),5120,End-of-life,"Jun 21st, 2017"
710,NVIDIA GM206S,TSMC,28 nm,"2,940 million",228 mm²,Maxwell 2.0,,,,,12 (12_1),4.6,3.0,1.3,5.2,6.7,,,,,,,,,,1024,,2016
711,AMD Radeon R4 Mobile Graphics,GlobalFoundries,28 nm,930 million,107 mm²,GCN 2.0,IGP,15 W,,System Shared,12 (12_0),4.6,2.1,1.2.170,,6.5,System Shared,System Shared,System Shared,System Dependent,3.200 GPixel/s,6.400 GTexel/s,,204.8 GFLOPS,12.80 GFLOPS (1:16),128,End-of-life,"Jun 11th, 2014"
712,ATI Mobility Radeon HD 545v,TSMC,55 nm,242 million,73 mm²,TeraScale,MXM Module,15 W,,"800 MHz
										
					1600 Mbps effective",10.1 (10_1),3.3,1.1,N/A,,4.1,512 MB,GDDR3,64 bit,12.80 GB/s,2.880 GPixel/s,5.760 GTexel/s,,115.2 GFLOPS,,80,End-of-life,"May 5th, 2010"
713,AMD Loveland,TSMC,40 nm,450 million,75 mm²,TeraScale 2,,,,,11.2 (11_0),4.4,1.2,N/A,,5.0,,,,,,,,,,80,,"Nov 9th, 2010"
714,AMD Tropo,TSMC,28 nm,"1,500 million",123 mm²,GCN 1.0,,,,,12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),,,,,,,,,,640,,"Aug 25th, 2014"
715,NVIDIA GeForce 7600 GT Mac Edition,TSMC,80 nm,177 million,100 mm²,Curie,Single-slot,40 W,,"700 MHz
										
					1400 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,256 MB,GDDR3,128 bit,22.40 GB/s,4.480 GPixel/s,6.720 GTexel/s,,,,,End-of-life,"Sep 2nd, 2006"
716,ATI Mobility Radeon HD 565v,TSMC,55 nm,514 million,146 mm²,TeraScale,MXM Module,20 W,,"800 MHz
										
					1600 Mbps effective",10.1 (10_1),3.3,1.1,N/A,,4.1,1024 MB,GDDR3,128 bit,25.60 GB/s,5.400 GPixel/s,21.60 GTexel/s,,432.0 GFLOPS,,320,End-of-life,"May 5th, 2010"
717,NVIDIA H100 SXM5 96 GB,TSMC,4 nm,"80,000 million",814 mm²,Hopper,SXM Module,700 W,1665 MHz,"1313 MHz
										
					2.6 Gbps effective",N/A,N/A,3.0,N/A,9.0,N/A,96 GB,HBM3,5120 bit,"1,681 GB/s",44.09 GPixel/s,969.9 GTexel/s,248.3 TFLOPS (4:1),62.08 TFLOPS,31.04 TFLOPS (1:2),16896,Active,"Mar 22nd, 2022"
718,ATI Graphics Solution Plus,,800 nm,unknown,90 mm²,Wonder,Single-slot,unknown,,5 MHz,N/A,N/A,N/A,N/A,,,64 KB,DRAM,32 bit,20.00 MB/s,0 MPixel/s,0 MTexel/s,,,,,End-of-life,"Mar 23rd, 1987"
719,AMD Pinewood,TSMC,40 nm,627 million,104 mm²,TeraScale 2,,,,,11.2 (11_0),4.4,1.2,N/A,,5.0,,,,,,,,,,480,,"Feb 7th, 2011"
720,NVIDIA Quadro P2000 Mobile,TSMC,16 nm,"4,400 million",200 mm²,Pascal,MXM Module,75 W,1291 MHz,"1502 MHz
										
					6 Gbps effective",12 (12_1),4.6,3.0,1.3,6.1,6.7,3.75 GB,GDDR5,128 bit,96.13 GB/s,41.31 GPixel/s,92.95 GTexel/s,46.48 GFLOPS (1:64),2.974 TFLOPS,92.95 GFLOPS (1:32),1152,End-of-life,"Feb 15th, 2019"
721,AMD Radeon PRO W6400,TSMC,6 nm,"5,400 million",107 mm²,RDNA 2.0,Single-slot,50 W,2039 MHz,"2000 MHz
										
					16 Gbps effective",12 Ultimate (12_2),4.6,2.2,1.3,,6.7,4 GB,GDDR6,64 bit,128.0 GB/s,74.27 GPixel/s,111.4 GTexel/s,7.130 TFLOPS (2:1),3.565 TFLOPS,222.8 GFLOPS (1:16),768,Active,"Jan 19th, 2022"
722,NVIDIA Quadro FX 4800,TSMC,55 nm,"1,400 million",470 mm²,Tesla 2.0,Dual-slot,150 W,,"800 MHz
										
					1600 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.3,4.0,1536 MB,GDDR3,384 bit,76.80 GB/s,14.45 GPixel/s,38.53 GTexel/s,,462.3 GFLOPS,57.79 GFLOPS (1:8),192,End-of-life,"Nov 11th, 2008"
723,NVIDIA GeForce RTX 2080,TSMC,12 nm,"13,600 million",545 mm²,Turing,Dual-slot,215 W,1515 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,7.5,6.7,8 GB,GDDR6,256 bit,448.0 GB/s,109.4 GPixel/s,314.6 GTexel/s,20.14 TFLOPS (2:1),10.07 TFLOPS,314.6 GFLOPS (1:32),2944,Active,"Sep 20th, 2018"
724,NVIDIA Quadro M4000,TSMC,28 nm,"5,200 million",398 mm²,Maxwell 2.0,Single-slot,120 W,,"1502 MHz
										
					6 Gbps effective",12 (12_1),4.6,3.0,1.3,5.2,6.7 (6.4),8 GB,GDDR5,256 bit,192.3 GB/s,49.47 GPixel/s,80.39 GTexel/s,,2.573 TFLOPS,80.39 GFLOPS (1:32),1664,End-of-life,"Jun 29th, 2015"
725,ATI Radeon X1300,UMC,90 nm,105 million,100 mm²,Ultra-Threaded SE,Single-slot,unknown,,"250 MHz
										
					500 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,128 MB,DDR,128 bit,8.000 GB/s,1.800 GPixel/s,1.800 GTexel/s,,,,,End-of-life,"Oct 5th, 2005"
726,NVIDIA Tesla K40st,TSMC,28 nm,"7,080 million",561 mm²,Kepler,Dual-slot,245 W,,"1502 MHz
										
					6 Gbps effective",12 (11_1),4.6,3.0,1.2.175,3.5,6.5 (5.1),12 GB,GDDR5,384 bit,288.4 GB/s,34.50 GPixel/s,138.0 GTexel/s,,3.312 TFLOPS,"1,104 GFLOPS (1:3)",2880,End-of-life,"Nov 22nd, 2013"
727,Intel Arctic Sound 2T,Intel,10 nm,"8,000 million",190 mm²,Generation 12.5,Dual-slot,500 W,,"1200 MHz
										
					2.4 Gbps effective",12 (12_1),4.6,3.0,N/A,,6.6,16 GB,HBM2e,4096 bit,"1,229 GB/s",108.0 GPixel/s,216.0 GTexel/s,27.65 TFLOPS (2:1),13.82 TFLOPS,3.456 TFLOPS (1:4),7680,Active,2021
728,AMD Mars,TSMC,28 nm,950 million,77 mm²,GCN 1.0,,,,,12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),,,,,,,,,,384,,"Feb 2nd, 2013"
729,NVIDIA Quadro FX 3700,TSMC,65 nm,754 million,324 mm²,Tesla,Single-slot,78 W,,"800 MHz
										
					1600 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,512 MB,GDDR3,256 bit,51.20 GB/s,8.000 GPixel/s,28.00 GTexel/s,,280.0 GFLOPS,,112,End-of-life,"Jan 8th, 2008"
730,AMD Radeon RX 570 Mobile,GlobalFoundries,14 nm,"5,700 million",232 mm²,GCN 4.0,MXM Module,85 W,926 MHz,"1650 MHz
										
					6.6 Gbps effective",12 (12_0),4.6,2.1,1.3,,6.7,8 GB,GDDR5,256 bit,211.2 GB/s,38.59 GPixel/s,154.4 GTexel/s,4.940 TFLOPS (1:1),4.940 TFLOPS,308.7 GFLOPS (1:16),2048,Active,"Dec 10th, 2017"
731,NVIDIA GeForce GTX 275 PhysX Edition,TSMC,55 nm,"1,400 million",470 mm²,Tesla 2.0,Dual-slot,219 W,,"1134 MHz
										
					2.3 Gbps effective",11.1 (10_0),3.3,1.1,N/A,1.3,4.0,896 MB,GDDR3,448 bit,127.0 GB/s,17.72 GPixel/s,50.64 GTexel/s,,622.1 GFLOPS,77.76 GFLOPS (1:8),240,End-of-life,"Feb 16th, 2010"
732,NVIDIA NV2A,TSMC,150 nm,57 million,142 mm²,Kelvin,,,,,8.1,1.4,N/A,N/A,,,,,,,,,,,,,,"Nov 15th, 2001"
733,ATI Radeon X1050,TSMC,110 nm,120 million,156 mm²,R400,Single-slot,24 W,,"200 MHz
										
					400 Mbps effective",9.0b (9_2),2.0,N/A,N/A,,,128 MB,DDR,64 bit,3.200 GB/s,3.200 GPixel/s,3.200 GTexel/s,,,,,End-of-life,"Jan 25th, 2008"
734,AMD Radeon HD 8570 OEM,TSMC,28 nm,950 million,77 mm²,GCN 1.0,Single-slot,50 W,730 MHz,"900 MHz
										
					1800 Mbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,GDDR3,128 bit,28.80 GB/s,6.240 GPixel/s,18.72 GTexel/s,,599.0 GFLOPS,37.44 GFLOPS (1:16),384,End-of-life,"Jan 8th, 2013"
735,AMD Radeon HD 8740 OEM,TSMC,28 nm,"1,500 million",123 mm²,GCN 1.0,Single-slot,55 W,,"1125 MHz
										
					4.5 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),1024 MB,GDDR5,128 bit,72.00 GB/s,12.80 GPixel/s,25.60 GTexel/s,,819.2 GFLOPS,51.20 GFLOPS (1:16),512,End-of-life,"Sep 5th, 2013"
736,AMD Radeon R7 M460,TSMC,28 nm,"1,550 million",125 mm²,GCN 3.0,,unknown,730 MHz,"1125 MHz
										
					4.5 Gbps effective",12 (12_0),4.6,2.1,1.2.170,,6.5,2 GB,GDDR5,64 bit,36.00 GB/s,8.192 GPixel/s,24.58 GTexel/s,786.4 GFLOPS (1:1),786.4 GFLOPS,49.15 GFLOPS (1:16),384,End-of-life,"May 15th, 2016"
737,NVIDIA GeForce MX250,Samsung,14 nm,"1,800 million",74 mm²,Pascal,IGP,10 W,937 MHz,"1502 MHz
										
					6 Gbps effective",12 (12_1),4.6,3.0,1.3,6.1,6.7,2 GB,GDDR5,64 bit,48.06 GB/s,16.61 GPixel/s,24.91 GTexel/s,12.46 GFLOPS (1:64),797.2 GFLOPS,24.91 GFLOPS (1:32),384,End-of-life,"Feb 20th, 2019"
738,NVIDIA GeForce GT 445M,TSMC,40 nm,"1,170 million",238 mm²,Fermi,IGP,35 W,,"800 MHz
										
					1600 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,3 GB,DDR3,192 bit,38.40 GB/s,3.540 GPixel/s,14.16 GTexel/s,,339.8 GFLOPS,28.32 GFLOPS (1:12),144,End-of-life,"Sep 3rd, 2010"
739,NVIDIA GeForce GT 420 OEM,TSMC,40 nm,585 million,116 mm²,Fermi,Single-slot,50 W,,"900 MHz
										
					1800 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,1024 MB,DDR3,128 bit,28.80 GB/s,1.400 GPixel/s,2.800 GTexel/s,,134.4 GFLOPS,11.20 GFLOPS (1:12),48,End-of-life,"Sep 3rd, 2010"
740,AMD Radeon Graphics 448SP,TSMC,7 nm,"9,800 million",180 mm²,GCN 5.1,IGP,45 W,300 MHz,System Shared,12 (12_1),4.6,2.1,1.3,,6.7,System Shared,System Shared,System Shared,System Dependent,15.20 GPixel/s,53.20 GTexel/s,3.405 TFLOPS (2:1),1.702 TFLOPS,106.4 GFLOPS (1:16),448,Active,"Apr 13th, 2021"
741,Matrox Calao,UMC,250 nm,10 million,unknown,G200,,,,,5.0,None,None,N/A,,,,,,,,,,,,,,1999
742,AMD Radeon R7 A360,TSMC,28 nm,950 million,77 mm²,GCN 1.0,,unknown,725 MHz,"900 MHz
										
					1800 Mbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,DDR3,128 bit,28.80 GB/s,6.600 GPixel/s,19.80 GTexel/s,,633.6 GFLOPS,,384,End-of-life,2015
